acession,code,strain.x,sample,strain.y,type,V2,source,Year
ERR024387,5103_3_1,C096,ERS007564,DT12,DT12,1,human,2009
ERR024388,5103_3_10,C0105,ERS007582,DT24,DT24,2,human,2009
ERR024389,5103_3_11,C0106,ERS007584,DT41,DT41,3,human,2009
ERR024391,5103_3_2,C097,ERS007566,DT120,DT120,4,human,2009
ERR024392,5103_3_3,C098,ERS007567,DT135,DT135,5,human,2009
ERR024394,5103_3_5,C0100,ERS007572,DT177,DT177,6,human,2008
ERR024395,5103_3_6,C0101,ERS007574,DT191A,DT191A,7,human,2009
ERR024396,5103_3_7,C0102,ERS007576,DT193,DT193,8,human,2009
ERR024397,5103_3_8,C0103,ERS007578,DT195,DT195,9,human,2009
ERR024398,5103_3_9,C0104,ERS007580,DT2B,DT2B,10,human,2009
ERR024400,5103_5_1,C0108,ERS007588,DT56,DT56,11,human,2009
ERR024401,5103_5_10,C0117,ERS007606,U302,U302,12,human,2009
ERR024402,5103_5_11,C0118,ERS007608,U310,U310,13,human,2009
ERR024404,5103_5_2,C0109,ERS007590,DT7,DT7,14,human,2009
ERR024405,5103_5_3,C0110,ERS007592,DT8,DT8,15,human,2009
ERR024406,5103_5_4,C0111,ERS007594,DT97,DT97,16,human,2008
ERR024407,5103_5_5,C0112,ERS007596,DT99,DT99,17,human,2009
ERR024408,5103_5_6,C0113,ERS007598,DT1,DT1,18,human,2009
ERR024409,5103_5_7,C0114,ERS007600,U276,U276,19,human,2009
ERR024410,5103_5_8,C0115,ERS007602,U277,U277,20,human,2009
ERR024411,5103_5_9,C0116,ERS007604,U288,U288,21,human,2009
ERR024413,5103_6_1,C0120,ERS007611,U313,U313,22,human,2008
ERR024417,5103_6_2,C0121,ERS007613,U319,U319,23,human,2008
ERR024418,5103_6_3,C0122,ERS007615,U320,U320,24,NA,NA
ERR024629,4976_8_1,105841997,ERS008962,105841997,ND,25,NA,1997
ERR024634,4976_8_3,S0272405,ERS008964,S0272405,rough,26,pig,2005
ERR024954,5116_1_7,L0004109,ERS008980,L0004109,DT193,27,dog,2009
ERR028271,5386_5_10,S00705-09,ERS015602,S00705-09,DT101,28,NA,NA
ERR028272,5386_5_11,3193-1995,ERS015603,3193-1995,DT102,29,NA,NA
ERR028277,5386_5_6,S04696-09,ERS015598,S04696-09,DT1,30,bird,2009
ERR028278,5386_5_7,10084-1995,ERS015599,10084-1995,DT10,31,cattle,1995
ERR028279,5386_5_8,100419-1995,ERS015600,100419-1995,DT10,32,cattle ,1995
ERR028280,5386_5_9,S00454-09,ERS015601,S00454-09,DT101,33,horse,2009
ERR028282,5386_6_1,S05738-08,ERS015604,S05738-08,U323,34,NA,NA
ERR028283,5386_6_10,547-2001,ERS015613,547-2001,DT108,35,pig,2001
ERR028284,5386_6_11,10902-1996,ERS015614,10902-1996,DT110,36,environment,1996
ERR028285,5386_6_2,7828-1995,ERS015605,7828-1995,DT103,37,pig,1995
ERR028286,5386_6_3,7830-1995,ERS015606,7830-1995,DT103,38,pig,1995
ERR028287,5386_6_4,7302-199,ERS015607,7302-1999,DT104A,39,pig,1999
ERR028288,5386_6_5,S00914-05,ERS015608,S00914-05,DT104B,40,cattle,2005
ERR028289,5386_6_6,4582-1995,ERS015609,4582-1995,DT104C,41,cattle,1995
ERR028290,5386_6_7,12005-1995,ERS015610,12005-1995,U323,42,pig,1995
ERR028291,5386_6_8,3203-1997,ERS015611,3203-1997,DT106,43,pig,1997
ERR028292,5386_6_9,10984-1996,ERS015612,10984-1996,DT108,44,cattle,1996
ERR028294,5386_7_1,1713-1998,ERS015615,1713-1998,DT110,45,cattle ,1998
ERR028295,5386_7_10,1164-1995,ERS015624,1164-1995,DT141,46,cattle,1995
ERR028296,5386_7_11,818-1998,ERS015625,818-1998,DT141,47,chicken,1998
ERR028297,5386_7_2,200707-08,ERS015616,200707-08,DT111,48,NA,NA
ERR028298,5386_7_3,S05380-08,ERS015617,S05380-08,DT111,49,horse,2008
ERR028299,5386_7_4,S08300-02,ERS015618,S08300-02,DT12,50,pig,2002
ERR028300,5386_7_5,4284-1995,ERS015619,4284-1995,DT120,51,pig,1998
ERR028301,5386_7_6,4179-2001,ERS015620,4179-2001,DT121,52,bird,2001
ERR028302,5386_7_7,8935-1995,ERS015621,8935-1995,DT126,53,sheep,1997
ERR028303,5386_7_8,6940-1998,ERS015622,6940-1998,DT126,54,dog,1998
ERR028304,5386_7_9,S06221-07,ERS015623,S06221-07,DT135,55,cattle,2007
ERR028306,5386_8_1,3299-1997,ERS015626,3299-1997,DT160,56,bird,1997
ERR028307,5386_8_10,5544-1997,ERS015635,5544-1997,DT179,57,environment,1997
ERR028308,5386_8_11,11020-1996,ERS015636,11020-1996,DT193,58,pig,1996
ERR028309,5386_8_2,2610-1998,ERS015627,2610-1998,DT160,59,horse,1998
ERR028310,5386_8_3,6353-1997,ERS015628,6353-1997,DT167,60,pig,1997
ERR028311,5386_8_4,8721-1997,ERS015629,8721-1997,DT167,61,environment,1997
ERR028312,5386_8_5,1008-1995,ERS015630,1008-1995,DT170,62,cattle,1995
ERR028313,5386_8_6,1402-2000,ERS015631,1402-2000,DT170,63,cattle,1995
ERR028314,5386_8_7,S03188-03,ERS015632,S03188-03,DT170B,64,pig,2003
ERR028315,5386_8_8,S09207-07,ERS015633,S09207-07,DT170B,65,pig,2007
ERR028316,5386_8_9,8380-1996,ERS015634,8380-1996,DT179,66,pig,1996
ERR028631,5391_2_1,9115-1995,ERS015637,9115-1996,DT204,67,cattle,1996
ERR028632,5391_2_10,S04744-08,ERS015646,S04744-08,DT35,68,chicken,2008
ERR028633,5391_2_11,7396-1998,ERS015647,7396-1998,DT36,69,bird,1998
ERR028634,5391_2_2,388-1998,ERS015638,388-1998,DT204,70,dog,1998
ERR028635,5391_2_3,S08313-02,ERS015639,S08313-02,DT208,71,pig,2002
ERR028636,5391_2_4,S04454-08,ERS015640,S04454-08,DT208,72,pig,2008
ERR028637,5391_2_5,S06356-04,ERS015641,S06356-04,DT2A,73,feed,2004
ERR028638,5391_2_6,S01491-06,ERS015642,S01491-06,DT2A,74,pigeon,2006
ERR028639,5391_2_7,S06281-04,ERS015643,S06281-04,DT30,75,duck,2004
ERR028640,5391_2_8,S04178-09,ERS015644,S04178-09,DT30,76,duck ,2009
ERR028641,5391_2_9,8767-1998,ERS015645,8767-1998,DT35,77,pig,1998
ERR028643,5408_8_1,C0119rpt,ERS014081,U311,U311,78,NA,NA
ERR028656,5477_5_6,C095rpt,ERS014078,DT104b,DT104b,79,NA,NA
ERR028658,5477_5_8,C0107rpt,ERS014080,DT41b,DT41b,80,NA,NA
ERR029213,5505_1_1,S03433-05,ERS015648,S03433-05,DT36,81,chicken,2005
ERR029214,5505_1_10,S05416-06,ERS015657,S05416-06,DT7,82,chicken,2006
ERR029215,5505_1_11,5465-1998,ERS015658,5465-1998,DT8,83,duck,1998
ERR029216,5505_1_2,S05081-04,ERS015649,S05081-04,DT40,84,horse,2004
ERR029217,5505_1_3,S00060-07,ERS015650,S00060-07,DT40,85,horse,2007
